[2023-09-15 11:08:18,971] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13991
[2023-09-15 11:08:21,521] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:21 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:21,534] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13979
[2023-09-15 11:08:31,426] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:31 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:31,439] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13979
[2023-09-15 11:08:34,231] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:08:34 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:08:34,250] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13996
[2023-09-15 11:11:24,122] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:11:24 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:11:24,134] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13991
[2023-09-15 11:11:40,853] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:11:40 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:11:40,866] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13991
[2023-09-15 11:11:45,332] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:11:45 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:11:45,344] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13985
[2023-09-15 11:12:14,696] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:12:14 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:12:14,712] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13979
[2023-09-15 11:12:48,614] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 11:12:48 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalInfo/PersonalInfo-search/ POST
[2023-09-15 11:12:48,643] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalInfo/PersonalInfo-search/ HTTP/1.1" 200 13991
[2023-09-15 13:23:43,578] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalExperience/My-approve/ HTTP/1.1" 200 34272
[2023-09-15 13:23:43,988] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 13:23:43,998] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 13:23:43 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalExperience/My-approve/ POST
[2023-09-15 13:23:44,007] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalExperience/My-approve/ HTTP/1.1" 200 457
[2023-09-15 13:23:48,626] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalExperience/My-application/ HTTP/1.1" 200 52410
[2023-09-15 13:23:48,908] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 13:23:48,928] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 13:23:48 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalExperience/My-application/ POST
[2023-09-15 13:23:48,937] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalExperience/My-application/ HTTP/1.1" 200 12180
[2023-09-15 13:24:14,832] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalExperience/NPI-upload/ HTTP/1.1" 200 37380
[2023-09-15 13:24:14,889] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/images/Func.png HTTP/1.1" 304 0
[2023-09-15 13:24:15,051] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
[2023-09-15 13:24:15,060] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 13:24:15 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalExperience/NPI-upload/ POST
[2023-09-15 13:24:15,073] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalExperience/NPI-upload/ HTTP/1.1" 200 10360
[2023-09-15 13:24:26,997] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2023-09-15 13:24:26,998] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2023-09-15 13:24:27,002] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2023-09-15 13:24:27,037] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2023-09-15 13:25:33,604] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /PersonalExperience/INV-upload/ HTTP/1.1" 200 36659
[2023-09-15 13:25:33,725] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2023-09-15 13:25:33,813] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2023-09-15 13:25:34,276] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2023-09-15 13:25:34,481] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2023-09-15 13:25:34,710] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-09-15 13:25:34 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /PersonalExperience/INV-upload/ POST
[2023-09-15 13:25:34,743] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /PersonalExperience/INV-upload/ HTTP/1.1" 200 10360
[2023-09-15 13:25:34,784] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 24152
