[2020-10-16 09:12:49,653] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/datapicker.js HTTP/1.1" 200 11813
[2020-10-16 09:12:49,668] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/xlsx.core.min.js HTTP/1.1" 200 480558
[2020-10-16 09:12:49,692] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/es6/polyfill.min.js HTTP/1.1" 200 97799
[2020-10-16 09:12:49,716] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/es6/babel.min.js HTTP/1.1" 200 791258
[2020-10-16 09:12:49,754] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/axios.min.js HTTP/1.1" 200 13696
[2020-10-16 09:12:49,769] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/vue.min.js HTTP/1.1" 200 93675
[2020-10-16 09:12:49,781] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/qs.js HTTP/1.1" 200 25398
[2020-10-16 09:12:49,787] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/FileSaver.min.js HTTP/1.1" 200 2611
[2020-10-16 09:12:49,796] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/table.js HTTP/1.1" 200 28389
[2020-10-16 09:12:49,802] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/main.js HTTP/1.1" 200 8726
[2020-10-16 09:12:49,810] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/input.js HTTP/1.1" 200 29207
[2020-10-16 09:12:49,818] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/table-column.js HTTP/1.1" 200 28341
[2020-10-16 09:12:49,825] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/icon.js HTTP/1.1" 200 8700
[2020-10-16 09:12:49,832] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/dialog.js HTTP/1.1" 200 11942
[2020-10-16 09:12:49,835] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/form.js HTTP/1.1" 200 10145
[2020-10-16 09:12:49,841] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/message.js HTTP/1.1" 200 11022
[2020-10-16 09:12:49,855] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/index.js HTTP/1.1" 200 563790
[2020-10-16 09:12:49,887] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/pagination.js HTTP/1.1" 200 22168
[2020-10-16 09:12:49,902] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/xlsx.js HTTP/1.1" 200 5900
[2020-10-16 09:12:49,912] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/001.png HTTP/1.1" 200 2015
[2020-10-16 09:12:49,920] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/mail.png HTTP/1.1" 200 3002
[2020-10-16 09:12:49,931] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/call.png HTTP/1.1" 200 1850
[2020-10-16 09:12:54,866] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/blue.jpg HTTP/1.1" 200 60343
[2020-10-16 09:12:54,870] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/admin/assets/fonts/themify.woff?-fvbane HTTP/1.1" 200 0
[2020-10-16 09:12:54,872] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/fonts/element-icons.ttf HTTP/1.1" 200 55956
[2020-10-16 09:12:54,918] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2020-10-16 09:12:54,982] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2020-10-16 09:12:55,154] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2020-10-16 09:12:55,154] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2020-10-16 09:12:55,404] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 68
[2020-10-16 09:12:55,432] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/admin/assets/fonts/themify.ttf?-fvbane HTTP/1.1" 200 0
[2020-10-16 09:12:55,490] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
[2020-10-16 09:12:55,532] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 17845
[2020-10-16 09:13:09,971] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 68
[2020-10-16 09:13:10,648] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 310
[2020-10-16 09:13:10,697] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/document_save_2_24px_539656_easyicon.net.png HTTP/1.1" 200 2187
[2020-10-16 09:13:27,077] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 533
[2020-10-16 09:13:27,092] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/document_save_2_24px_539656_easyicon.net.png HTTP/1.1" 200 2187
[2020-10-16 09:13:43,701] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 372
[2020-10-16 09:13:46,348] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 209
[2020-10-16 09:13:48,447] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 372
[2020-10-16 09:13:48,475] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/document_save_2_24px_539656_easyicon.net.png HTTP/1.1" 200 2187
[2020-10-16 09:14:04,750] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 372
[2020-10-16 09:14:19,162] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 537
[2020-10-16 09:14:19,176] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/document_save_2_24px_539656_easyicon.net.png HTTP/1.1" 200 2187
[2020-10-16 09:14:23,578] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 367
[2020-10-16 09:14:24,696] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 367
[2020-10-16 09:15:43,014] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 381
[2020-10-16 09:15:46,193] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /SpecDownload/SpecDownload-summary/ HTTP/1.1" 200 43828
[2020-10-16 09:15:46,232] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/chartist/chartist.min.css HTTP/1.1" 200 11508
[2020-10-16 09:15:46,233] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/calendar2/pignose.calendar.min.css HTTP/1.1" 200 14709
[2020-10-16 09:15:46,234] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/download_UPK/element-ui@2.12.0/lib/theme-chalk/index.css HTTP/1.1" 200 232694
[2020-10-16 09:15:46,245] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/owl.theme.default.min.css HTTP/1.1" 200 1003
[2020-10-16 09:15:46,246] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/font-awesome.min.css HTTP/1.1" 200 38722
[2020-10-16 09:15:46,248] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/themify-icons.css HTTP/1.1" 200 17551
[2020-10-16 09:15:46,248] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/menubar/sidebar.css HTTP/1.1" 200 17210
