[2020-06-02 12:03:11,704] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/10.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:11,772] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 34725
[2020-06-02 12:03:12,600] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 16795
[2020-06-02 12:03:17,457] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /FilesDownload/ HTTP/1.1" 200 22591
[2020-06-02 12:03:17,492] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/down_base.css HTTP/1.1" 304 0
[2020-06-02 12:03:17,492] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/down_index.css HTTP/1.1" 304 0
[2020-06-02 12:03:17,543] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/pagination.js HTTP/1.1" 304 0
[2020-06-02 12:03:17,544] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_02.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,544] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/message.js HTTP/1.1" 304 0
[2020-06-02 12:03:17,545] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_01.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,546] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_03.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,547] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_04.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,560] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_05.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,560] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_06.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,561] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_07.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,561] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_08.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:17,561] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/gallery_09.jpg HTTP/1.1" 304 0
[2020-06-02 12:03:18,304] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 16795
[2020-06-02 12:03:23,382] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/modelfiles/MQM.xlsx HTTP/1.1" 200 20854
[2020-06-02 12:13:12,696] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanME/TestPlanME-search/ HTTP/1.1" 200 58657
[2020-06-02 12:13:13,878] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanME/TestPlanME-search/?action=get HTTP/1.1" 200 803
[2020-06-02 12:13:13,945] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 16795
[2020-06-02 12:13:22,577] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2020-06-02 12:13:22,578] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2020-06-02 12:13:22,578] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2020-06-02 12:13:23,000] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2020-06-02 12:13:28,275] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /TestPlanME/TestPlanME-search/?action=search&customer=C38(NB)&project=EL334&phase=0 HTTP/1.1" 200 20091
[2020-06-02 16:38:29,755] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET / HTTP/1.1" 302 0
[2020-06-02 16:38:29,767] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /login/ HTTP/1.1" 200 4677
[2020-06-02 16:38:29,800] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 304 0
