[2021-02-24 15:58:30,000] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/ HTTP/1.1" 200 4838
[2021-02-24 15:58:31,889] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/add/ HTTP/1.1" 200 14331
[2021-02-24 15:58:31,924] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 15:58:45,893] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/AdapterPowerCode/adapterpowercode/add/ HTTP/1.1" 200 14415
[2021-02-24 15:58:45,937] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /admin/jsi18n/ HTTP/1.1" 200 7684
[2021-02-24 16:09:22,093] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 13197
[2021-02-24 16:09:22,326] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /index/ HTTP/1.1" 200 13197
[2021-02-24 16:09:28,817] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/M_edit/ HTTP/1.1" 200 52743
[2021-02-24 16:09:28,871] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/FileSaver.min.js HTTP/1.1" 200 2611
[2021-02-24 16:09:28,872] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/table.js HTTP/1.1" 200 28389
[2021-02-24 16:09:28,873] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/main.js HTTP/1.1" 200 8726
[2021-02-24 16:09:28,873] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/input.js HTTP/1.1" 200 29207
[2021-02-24 16:09:28,877] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/table-column.js HTTP/1.1" 200 28341
[2021-02-24 16:09:28,885] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/icon.js HTTP/1.1" 200 8700
[2021-02-24 16:09:28,889] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/image.js HTTP/1.1" 200 25055
[2021-02-24 16:09:28,891] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/message.js HTTP/1.1" 200 11022
[2021-02-24 16:09:28,919] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/M_edit/ HTTP/1.1" 200 52743
[2021-02-24 16:09:29,511] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /CQM/CQM_edit/ HTTP/1.1" 200 12107
[2021-02-24 16:11:48,694] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /CQM/CQM_edit/ HTTP/1.1" 200 12107
[2021-02-24 16:11:50,116] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /CQM/CQM_edit/ HTTP/1.1" 200 12107
[2021-02-24 16:15:26,875] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/M_edit/ HTTP/1.1" 200 52809
[2021-02-24 16:15:27,018] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/M_edit/ HTTP/1.1" 200 52809
[2021-02-24 16:15:27,932] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/M_edit/ HTTP/1.1" 200 2613
[2021-02-24 16:16:29,022] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/M_edit/ HTTP/1.1" 200 2613
[2021-02-24 16:27:04,691] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/R_Return/ HTTP/1.1" 200 22937
[2021-02-24 16:27:04,937] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/R_Return/ HTTP/1.1" 200 22937
[2021-02-24 16:27:05,736] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /AdapterPowerCode/R_Return/ HTTP/1.1" 200 3508
[2021-02-24 16:27:16,522] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2021-02-24 16:27:16,524] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2021-02-24 16:27:16,556] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2021-02-24 16:27:21,844] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/R_Return/ HTTP/1.1" 200 22937
[2021-02-24 16:27:21,889] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/calendar2/pignose.calendar.min.css HTTP/1.1" 200 14709
[2021-02-24 16:27:21,891] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/chartist/chartist.min.css HTTP/1.1" 200 11508
[2021-02-24 16:27:21,891] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/themify-icons.css HTTP/1.1" 200 17551
[2021-02-24 16:27:21,892] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/font-awesome.min.css HTTP/1.1" 200 38722
[2021-02-24 16:27:21,893] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/download_UPK/element-ui@2.12.0/lib/theme-chalk/index.css HTTP/1.1" 200 232694
[2021-02-24 16:27:21,920] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/owl.carousel.min.css HTTP/1.1" 200 3011
[2021-02-24 16:27:21,925] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/owl.theme.default.min.css HTTP/1.1" 200 1003
[2021-02-24 16:27:21,933] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/weather-icons.css HTTP/1.1" 200 30752
[2021-02-24 16:27:21,940] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/uploadbutton.css HTTP/1.1" 200 175
[2021-02-24 16:27:21,940] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/menubar/sidebar.css HTTP/1.1" 200 17496
[2021-02-24 16:27:21,944] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/helper.css HTTP/1.1" 200 55773
[2021-02-24 16:27:21,945] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/style.css HTTP/1.1" 200 91482
[2021-02-24 16:27:21,946] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 144877
[2021-02-24 16:27:21,948] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/index.css HTTP/1.1" 200 232694
[2021-02-24 16:27:21,950] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/jquery-3.2.1.js HTTP/1.1" 200 268039
[2021-02-24 16:27:21,991] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 97362
[2021-02-24 16:27:22,003] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/jquery.nanoscroller.min.js HTTP/1.1" 200 12394
[2021-02-24 16:27:22,012] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/menubar/sidebar.js HTTP/1.1" 200 7278
[2021-02-24 16:27:22,027] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/preloader/pace.min.js HTTP/1.1" 200 26566
[2021-02-24 16:27:22,037] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/bootstrap.min.js HTTP/1.1" 200 69782
[2021-02-24 16:27:22,052] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/scripts.js HTTP/1.1" 200 1906
[2021-02-24 16:27:22,058] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/calendar-2/moment.latest.min.js HTTP/1.1" 200 61317
[2021-02-24 16:27:22,066] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/calendar-2/pignose.calendar.min.js HTTP/1.1" 200 24265
[2021-02-24 16:27:22,074] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/calendar-2/pignose.init.js HTTP/1.1" 200 258
[2021-02-24 16:27:22,080] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/circle-progress/circle-progress.min.js HTTP/1.1" 200 4453
[2021-02-24 16:27:22,115] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/circle-progress/circle-progress-init.js HTTP/1.1" 200 1252
[2021-02-24 16:27:22,122] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/sparklinechart/jquery.sparkline.min.js HTTP/1.1" 200 43247
[2021-02-24 16:27:22,133] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/sparklinechart/sparkline.init.js HTTP/1.1" 200 9974
[2021-02-24 16:27:22,140] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 42854
[2021-02-24 16:27:22,150] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/owl-carousel/owl.carousel-init.js HTTP/1.1" 200 1044
[2021-02-24 16:27:22,156] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/date.js HTTP/1.1" 200 764
[2021-02-24 16:27:22,171] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/vendor/datatables/jquery.dataTables.js HTTP/1.1" 200 447606
[2021-02-24 16:27:22,182] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/datapicker.js HTTP/1.1" 200 11813
[2021-02-24 16:27:22,191] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/xlsx.core.min.js HTTP/1.1" 200 480558
[2021-02-24 16:27:22,240] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/es6/polyfill.min.js HTTP/1.1" 200 97799
[2021-02-24 16:27:22,259] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/es6/babel.min.js HTTP/1.1" 200 791258
[2021-02-24 16:27:22,288] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/axios.min.js HTTP/1.1" 200 13696
[2021-02-24 16:27:22,296] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/vue.min.js HTTP/1.1" 200 93675
[2021-02-24 16:27:22,329] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/qs.js HTTP/1.1" 200 25398
[2021-02-24 16:27:22,341] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/Element/index.js HTTP/1.1" 200 563790
[2021-02-24 16:27:22,372] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/xlsx.js HTTP/1.1" 200 5900
[2021-02-24 16:27:22,382] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/001.png HTTP/1.1" 200 2015
[2021-02-24 16:27:22,389] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/mail.png HTTP/1.1" 200 3002
[2021-02-24 16:27:22,399] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/call.png HTTP/1.1" 200 1850
[2021-02-24 16:27:24,808] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2021-02-24 16:27:25,767] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/admin/assets/fonts/themify.woff?-fvbane HTTP/1.1" 200 0
[2021-02-24 16:27:25,798] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/admin/assets/fonts/themify.ttf?-fvbane HTTP/1.1" 200 0
[2021-02-24 16:27:25,800] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /AdapterPowerCode/R_Return/ HTTP/1.1" 200 22937
[2021-02-24 16:27:25,835] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
[2021-02-24 16:27:25,923] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2021-02-24 16:27:26,179] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2021-02-24 16:27:26,420] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/fonts/element-icons.woff HTTP/1.1" 200 28200
